"cluster","pc","var","predict"
1,3,"pr",0.257519787085461
2,2,"rlds",0.349974426628482
2,3,"tas",0.380405052132938
3,1,"tasmin",0.652267091733981
3,2,"pr",0.448922678476021
4,1,"tasmax",0.335466081014576
5,1,"tasmax",0.277437385741666
5,2,"rsds",0.282002530910203
5,3,"tas",0.299726904311391
6,3,"ps",0.345939065050193
7,1,"tas",0.254149510533196
7,2,"rsds",0.254017664245892
7,3,"ps",0.354600561243958
8,1,"tasmax",0.380539480006897
8,2,"pr",0.256452919838898
9,1,"hurs",0.354001306156978
9,2,"sfcwind",0.262875751058598
9,3,"pr",0.330554402698897
10,1,"rsds",0.357300118354186
10,2,"rsds",0.31262859091076
11,1,"tasmax",0.420317338410549
11,2,"ps",0.256060757349082
11,3,"pr",0.316348550774187
12,1,"tasmax",0.395055897000906
12,2,"rsds",0.32276056984472
12,3,"ps",0.347792080934087
13,1,"tas",0.386598608452813
13,3,"sfcwind",0.292018206609325
14,3,"pr",0.264227918860278
15,1,"rlds",0.386475652780361
16,1,"rlds",0.376301431617476
16,2,"pr",0.407404229964032
17,1,"tasmax",0.29317832100471
18,1,"tas",0.284217998608231
18,3,"pr",0.314214815846933
19,3,"sfcwind",0.336311030230428
20,1,"tasmin",0.377702952964564
20,2,"pr",0.258987966919185
20,3,"rlds",0.34577312138662
21,1,"tasmin",0.382242318624589
21,3,"rsds",0.303650840180907
22,1,"rlds",0.427669528357504
22,2,"sfcwind",0.409256826943448
23,1,"tas",0.448948827395094
24,1,"rlds",0.485698884240906
24,2,"sfcwind",0.303553692362842
24,3,"hurs",0.431098260217649
25,1,"tasmax",0.412235321765885
25,3,"rlds",0.25492463615693
26,1,"tas",0.417000627370467
27,1,"tas",0.258163654451923
27,2,"sfcwind",0.288063579583039
27,3,"pr",0.309728448521048
28,1,"rlds",0.461621847916411
29,1,"tas",0.366388003741385
29,3,"pr",0.379224415695341
30,1,"tasmax",0.280397296055892
30,2,"rsds",0.270762269345481
31,1,"tasmax",0.394218934828645
31,2,"pr",0.293633010921441
32,1,"tasmax",0.482532148030246
32,3,"ps",0.307174237705607
33,1,"tasmax",0.448961862808425
33,2,"rsds",0.289889103207735
33,3,"rsds",0.266265503605165
34,1,"tasmax",0.405342104368758
35,1,"tasmax",0.393964125403677
36,1,"tasmax",0.368288913965245
36,3,"rsds",0.271884004038087
37,1,"tasmax",0.322251935146987
37,2,"hurs",0.259057496877836
38,2,"rsds",0.271157586681174
38,3,"sfcwind",0.342394262928166
39,1,"tas",0.396526236514176
40,1,"rsds",0.276056649733364
40,3,"pr",0.316825353388719
41,1,"rlds",0.329657099773077
41,3,"sfcwind",0.323933837188025
42,1,"rsds",0.290542691342521
43,1,"hurs",0.253900221890664
43,2,"rsds",0.258836024288936
43,3,"pr",0.25414486047562
44,1,"tasmin",0.487191888689312
44,2,"rlds",0.271997840937322
44,3,"ps",0.304741420406263
45,1,"tasmax",0.322719264596294
46,1,"tasmax",0.267611057900039
47,1,"tasmax",0.308826574944746
